"Category","Series 1","Active Power","Hashrate","Heat Index","Operational"
Mon Nov 01 2021 17:00:00 GMT-0500 (CDT),,106.08448333333334,1558.276732943751,79.38,21060
Mon Nov 01 2021 17:05:00 GMT-0500 (CDT),,105.82213333333334,1557.3630725210578,79.11,21053
Mon Nov 01 2021 17:10:00 GMT-0500 (CDT),,106.03533333333333,1503.936231484929,79.11,20981
Mon Nov 01 2021 17:15:00 GMT-0500 (CDT),,106.00098305084745,1513.3285232029052,78.82,21023
Mon Nov 01 2021 17:20:00 GMT-0500 (CDT),,106.04424999999999,1531.7886365396166,78.8,21029
Mon Nov 01 2021 17:25:00 GMT-0500 (CDT),,106.2229,1543.7344299135805,78.3,21042
Mon Nov 01 2021 17:30:00 GMT-0500 (CDT),,105.55696551724138,1550.3011508320205,78.51,21049
Mon Nov 01 2021 17:35:00 GMT-0500 (CDT),,105.45008333333334,1540.4387002652884,78.49,21007
Mon Nov 01 2021 17:40:00 GMT-0500 (CDT),,105.51603333333334,1547.5323245321188,78.26,21024
Mon Nov 01 2021 17:45:00 GMT-0500 (CDT),,105.47963333333334,1553.4071413054992,77.68,21037
Mon Nov 01 2021 17:50:00 GMT-0500 (CDT),,105.28263333333334,1555.1404659576401,77.67,21058
Mon Nov 01 2021 17:55:00 GMT-0500 (CDT),,104.97261666666667,1540.7643079927295,77.43,21035
Mon Nov 01 2021 18:00:00 GMT-0500 (CDT),,104.87718333333333,1535.7637987691912,76.93,21060
Mon Nov 01 2021 18:05:00 GMT-0500 (CDT),,105.32310000000001,1536.8017565707514,76.51,21044
Mon Nov 01 2021 18:10:00 GMT-0500 (CDT),,105.40435000000001,1547.83906369559,76.51,21050
Mon Nov 01 2021 18:15:00 GMT-0500 (CDT),,105.37726666666667,1555.0363548703913,76.1,21050
Mon Nov 01 2021 18:20:00 GMT-0500 (CDT),,105.37325000000001,1556.966646944683,75.9,21056
Mon Nov 01 2021 18:25:00 GMT-0500 (CDT),,105.23725,1559.5663357072995,75.31,21062
Mon Nov 01 2021 18:30:00 GMT-0500 (CDT),,105.12721666666667,1561.2825599707094,74.71,21058
Mon Nov 01 2021 18:35:00 GMT-0500 (CDT),,105.17205084745763,1563.3925027593934,74.19,21056
Mon Nov 01 2021 18:40:00 GMT-0500 (CDT),,105.26725,1565.3600168680912,73.72,21056
Mon Nov 01 2021 18:45:00 GMT-0500 (CDT),,105.26001666666667,1565.4003847020294,73.06,21059
Mon Nov 01 2021 18:50:00 GMT-0500 (CDT),,105.08670000000001,1563.6172835243403,72.91,21056
Mon Nov 01 2021 18:55:00 GMT-0500 (CDT),,105.05458333333334,1561.7927944497103,72.82,21055
Mon Nov 01 2021 19:00:00 GMT-0500 (CDT),,105.32388333333333,1563.699014131178,71.92,21061
Mon Nov 01 2021 19:05:00 GMT-0500 (CDT),,105.37043333333334,1558.5200337791396,71.58,21058
Mon Nov 01 2021 19:10:00 GMT-0500 (CDT),,105.98643333333332,1480.179252218809,71.55,21053
Mon Nov 01 2021 19:15:00 GMT-0500 (CDT),,107.01866101694917,1453.9180019380597,70.99,21050
Mon Nov 01 2021 19:20:00 GMT-0500 (CDT),,107.00693333333334,1475.7201869870803,70.45,21056
Mon Nov 01 2021 19:25:00 GMT-0500 (CDT),,107.18655,1475.7531052700995,70.14,21050
Mon Nov 01 2021 19:30:00 GMT-0500 (CDT),,107.7709,1499.3626241441873,69.73,21052
Mon Nov 01 2021 19:35:00 GMT-0500 (CDT),,107.81388333333334,1519.9665554672754,69.58,21055
Mon Nov 01 2021 19:40:00 GMT-0500 (CDT),,107.88811666666668,1537.628795359497,69.15,21054
Mon Nov 01 2021 19:45:00 GMT-0500 (CDT),,107.93493333333335,1550.0916574211114,68.67,21060
Mon Nov 01 2021 19:50:00 GMT-0500 (CDT),,107.92726666666667,1559.414161339454,68.56,21053
Mon Nov 01 2021 19:55:00 GMT-0500 (CDT),,107.82174576271187,1564.625342500482,68.49,21055
Mon Nov 01 2021 20:00:00 GMT-0500 (CDT),,107.79111666666667,1567.9205340383196,67.69,21058
Mon Nov 01 2021 20:05:00 GMT-0500 (CDT),,107.74205,1569.5752589278784,67.5,21056
Mon Nov 01 2021 20:10:00 GMT-0500 (CDT),,107.7345593220339,1567.2522472480348,67.42,21055
Mon Nov 01 2021 20:15:00 GMT-0500 (CDT),,107.79103389830509,1567.7336729426913,67.21,21054
Mon Nov 01 2021 20:20:00 GMT-0500 (CDT),,107.88188333333333,1568.83392907955,66.54,21059
Mon Nov 01 2021 20:25:00 GMT-0500 (CDT),,107.84935,1570.1871864427187,66.54,21053
Mon Nov 01 2021 20:30:00 GMT-0500 (CDT),,107.78065,1571.8575200199386,66.29,21058
Mon Nov 01 2021 20:35:00 GMT-0500 (CDT),,107.7235,1571.9919400363087,66.06,21056
Mon Nov 01 2021 20:40:00 GMT-0500 (CDT),,107.70085,1572.584182085078,65.66,21054
Mon Nov 01 2021 20:45:00 GMT-0500 (CDT),,107.63913333333333,1572.7560093477503,65.59,21051
Mon Nov 01 2021 20:50:00 GMT-0500 (CDT),,107.63395,1573.238969741588,65.52,21055
Mon Nov 01 2021 20:55:00 GMT-0500 (CDT),,107.64623333333334,1573.2678616332396,65.28,21058
Mon Nov 01 2021 21:00:00 GMT-0500 (CDT),,107.82578333333335,1573.4503089426403,65.08,21054
Mon Nov 01 2021 21:05:00 GMT-0500 (CDT),,108.1885,1565.9615922502862,65.03,21052
Mon Nov 01 2021 21:10:00 GMT-0500 (CDT),,108.33539999999999,1523.5991315406802,65.03,21051
Mon Nov 01 2021 21:15:00 GMT-0500 (CDT),,108.57111666666667,1510.21176113544,65.1,21053
Mon Nov 01 2021 21:20:00 GMT-0500 (CDT),,109.13335000000001,1522.4491589933966,64.76,21056
Mon Nov 01 2021 21:25:00 GMT-0500 (CDT),,109.10185,1534.1602124993497,64.17,21054
Mon Nov 01 2021 21:30:00 GMT-0500 (CDT),,109.3168,1547.950528833065,64.13,21058
